CMDLINE /oscar/home/ndilullo/work/tensorflow.venv/bin/python memprof.py
MEM 5.500000 1772130702.4535
MEM 16.000000 1772130702.5538
MEM 28.000000 1772130702.6541
MEM 38.500000 1772130702.7543
MEM 42.500000 1772130702.8547
MEM 119.500000 1772130702.9551
MEM 127.500000 1772130703.0555
MEM 159.000000 1772130703.1558
MEM 265.000000 1772130703.2562
MEM 272.500000 1772130703.3570
MEM 278.000000 1772130703.4573
MEM 282.500000 1772130703.5576
MEM 286.000000 1772130703.6580
MEM 290.000000 1772130703.7583
MEM 294.000000 1772130703.8586
MEM 299.000000 1772130703.9590
MEM 302.500000 1772130704.0592
MEM 304.000000 1772130704.1597
MEM 308.000000 1772130704.2600
MEM 313.000000 1772130704.3603
MEM 321.500000 1772130704.4606
MEM 330.933594 1772130704.5609
MEM 334.433594 1772130704.6612
MEM 339.933594 1772130704.7622
MEM 341.433594 1772130704.8626
MEM 343.933594 1772130704.9629
MEM 349.433594 1772130705.0637
MEM 352.933594 1772130705.1640
MEM 362.933594 1772130705.2643
MEM 364.433594 1772130705.3646
MEM 373.933594 1772130705.4649
MEM 375.433594 1772130705.5652
MEM 377.933594 1772130705.6655
MEM 382.933594 1772130705.7658
MEM 389.433594 1772130705.8661
MEM 391.933594 1772130705.9665
MEM 391.933594 1772130706.0668
MEM 393.433594 1772130706.1671
MEM 393.933594 1772130706.2675
MEM 394.933594 1772130706.3679
MEM 395.933594 1772130706.4682
MEM 397.433594 1772130706.5686
MEM 397.933594 1772130706.6689
MEM 399.933594 1772130706.7693
MEM 405.433594 1772130706.8696
MEM 406.933594 1772130706.9699
MEM 410.433594 1772130707.0702
MEM 412.933594 1772130707.1704
MEM 415.433594 1772130707.2706
MEM 423.433594 1772130707.3709
MEM 434.425781 1772130707.4712
MEM 440.425781 1772130707.5715
MEM 440.925781 1772130707.6718
MEM 447.425781 1772130707.7721
MEM 454.425781 1772130707.8723
MEM 454.925781 1772130707.9725
MEM 464.425781 1772130708.0728
MEM 470.425781 1772130708.1731
MEM 474.425781 1772130708.2733
MEM 477.925781 1772130708.3736
MEM 481.425781 1772130708.4739
MEM 509.621094 1772130708.5743
MEM 535.621094 1772130708.6747
MEM 561.621094 1772130708.7750
MEM 587.621094 1772130708.8754
MEM 613.621094 1772130708.9758
MEM 637.621094 1772130709.0762
MEM 663.621094 1772130709.1765
MEM 689.621094 1772130709.2768
MEM 715.621094 1772130709.3772
MEM 741.621094 1772130709.4775
MEM 767.621094 1772130709.5778
MEM 793.621094 1772130709.6782
MEM 819.621094 1772130709.7785
MEM 847.621094 1772130709.8788
MEM 873.621094 1772130709.9792
MEM 899.621094 1772130710.0795
MEM 904.621094 1772130710.1799
MEM 927.382812 1772130710.2802
MEM 953.382812 1772130710.3806
MEM 979.382812 1772130710.4810
MEM 1005.382812 1772130710.5813
MEM 1031.382812 1772130710.6817
MEM 1057.382812 1772130710.7821
MEM 1083.382812 1772130710.8825
MEM 1107.382812 1772130710.9828
MEM 1133.382812 1772130711.0832
MEM 1159.382812 1772130711.1835
MEM 1185.382812 1772130711.2838
MEM 1211.382812 1772130711.3842
MEM 1237.382812 1772130711.4846
MEM 1263.382812 1772130711.5850
MEM 1289.382812 1772130711.6853
MEM 1314.382812 1772130711.7857
MEM 1317.917969 1772130711.8860
MEM 1343.917969 1772130711.9863
MEM 1369.917969 1772130712.0867
MEM 1395.917969 1772130712.1871
MEM 1421.917969 1772130712.2874
MEM 1447.917969 1772130712.3878
MEM 1473.917969 1772130712.4882
MEM 1499.917969 1772130712.5886
MEM 1525.917969 1772130712.6889
MEM 1551.917969 1772130712.7893
MEM 1575.917969 1772130712.8897
MEM 1601.917969 1772130712.9900
MEM 1627.917969 1772130713.0904
MEM 1653.917969 1772130713.1908
MEM 1679.917969 1772130713.2911
MEM 1705.917969 1772130713.3915
MEM 1717.917969 1772130713.4918
MEM 1734.144531 1772130713.5922
MEM 1760.144531 1772130713.6926
MEM 1786.144531 1772130713.7930
MEM 1812.144531 1772130713.8933
MEM 1838.144531 1772130713.9937
MEM 1862.144531 1772130714.0941
MEM 1888.144531 1772130714.1944
MEM 1914.144531 1772130714.2948
MEM 1940.144531 1772130714.3952
MEM 1966.144531 1772130714.4955
MEM 1992.144531 1772130714.5958
MEM 2018.144531 1772130714.6962
MEM 2044.144531 1772130714.7966
MEM 2070.144531 1772130714.8970
MEM 2094.144531 1772130714.9973
MEM 2109.144531 1772130715.0977
MEM 2122.589844 1772130715.1981
MEM 2148.589844 1772130715.2985
MEM 2174.589844 1772130715.3988
MEM 2200.589844 1772130715.4992
MEM 2226.589844 1772130715.5995
MEM 2252.589844 1772130715.6999
MEM 2278.589844 1772130715.8003
MEM 2304.589844 1772130715.9007
MEM 2330.589844 1772130716.0010
MEM 2356.589844 1772130716.1014
MEM 2382.589844 1772130716.2018
MEM 2408.589844 1772130716.3021
MEM 2434.589844 1772130716.4025
MEM 2460.589844 1772130716.5028
MEM 2486.589844 1772130716.6032
MEM 2512.589844 1772130716.7035
MEM 2525.089844 1772130716.8040
MEM 2541.429688 1772130716.9044
MEM 2567.429688 1772130717.0047
MEM 2593.429688 1772130717.1051
MEM 2619.429688 1772130717.2055
MEM 2645.429688 1772130717.3058
MEM 2671.429688 1772130717.4062
MEM 2697.429688 1772130717.5066
MEM 2723.429688 1772130717.6069
MEM 2749.429688 1772130717.7073
MEM 2775.429688 1772130717.8077
MEM 2801.429688 1772130717.9081
MEM 2827.429688 1772130718.0085
MEM 2853.429688 1772130718.1088
MEM 2879.429688 1772130718.2092
MEM 2905.429688 1772130718.3095
MEM 2931.429688 1772130718.4098
MEM 2940.929688 1772130718.5102
MEM 2960.488281 1772130718.6106
MEM 2986.488281 1772130718.7109
MEM 3012.488281 1772130718.8113
MEM 3038.488281 1772130718.9116
MEM 3064.488281 1772130719.0120
MEM 3090.488281 1772130719.1124
MEM 3116.488281 1772130719.2127
MEM 3142.488281 1772130719.3131
MEM 3168.488281 1772130719.4134
MEM 3194.488281 1772130719.5138
MEM 3220.488281 1772130719.6141
MEM 3246.488281 1772130719.7145
MEM 3272.488281 1772130719.8148
MEM 3298.488281 1772130719.9152
MEM 3324.488281 1772130720.0155
MEM 3350.488281 1772130720.1158
MEM 3368.988281 1772130720.2162
MEM 3379.554688 1772130720.3166
MEM 3405.554688 1772130720.4170
MEM 3431.554688 1772130720.5173
MEM 3457.554688 1772130720.6177
MEM 3483.554688 1772130720.7180
MEM 3509.554688 1772130720.8184
MEM 3535.554688 1772130720.9187
MEM 3561.554688 1772130721.0191
MEM 3587.554688 1772130721.1195
MEM 3613.554688 1772130721.2198
MEM 3639.554688 1772130721.3202
MEM 3665.554688 1772130721.4205
MEM 3691.554688 1772130721.5208
MEM 3717.554688 1772130721.6212
MEM 3743.554688 1772130721.7215
MEM 3769.554688 1772130721.8218
MEM 3784.554688 1772130721.9222
MEM 3796.714844 1772130722.0225
MEM 3822.714844 1772130722.1228
MEM 3850.714844 1772130722.2232
MEM 3876.714844 1772130722.3235
MEM 3902.714844 1772130722.4238
MEM 3928.714844 1772130722.5242
MEM 3954.714844 1772130722.6245
MEM 3980.714844 1772130722.7248
MEM 4006.714844 1772130722.8252
MEM 4032.714844 1772130722.9255
MEM 4058.714844 1772130723.0258
MEM 4084.714844 1772130723.1262
MEM 4110.714844 1772130723.2265
MEM 4136.714844 1772130723.3268
MEM 4162.714844 1772130723.4272
MEM 4190.714844 1772130723.5275
MEM 4216.714844 1772130723.6278
MEM 4218.714844 1772130723.7282
MEM 4243.664062 1772130723.8285
MEM 4269.664062 1772130723.9289
MEM 4295.664062 1772130724.0293
MEM 4321.664062 1772130724.1297
MEM 4347.664062 1772130724.2300
MEM 4373.664062 1772130724.3304
MEM 4399.664062 1772130724.4307
MEM 4425.664062 1772130724.5311
MEM 4451.664062 1772130724.6314
MEM 4477.664062 1772130724.7318
MEM 4503.664062 1772130724.8321
MEM 4529.664062 1772130724.9325
MEM 4555.664062 1772130725.0328
MEM 4581.664062 1772130725.1332
MEM 4607.664062 1772130725.2335
MEM 4622.164062 1772130725.3338
MEM 4636.597656 1772130725.4342
MEM 4662.597656 1772130725.5346
MEM 4688.597656 1772130725.6349
MEM 4714.597656 1772130725.7353
MEM 4740.597656 1772130725.8357
MEM 4766.597656 1772130725.9360
MEM 4792.597656 1772130726.0364
MEM 4818.597656 1772130726.1368
