CMDLINE /oscar/home/ndilullo/work/tensorflow.venv/bin/python pfn_example_modified.py
MEM 2137.382812 1772130051.2874
MEM 2137.382812 1772130051.3884
MEM 2137.382812 1772130051.4901
MEM 2137.382812 1772130051.5916
MEM 2137.382812 1772130051.6925
MEM 2141.359375 1772130051.7928
MEM 2137.382812 1772130051.8932
MEM 2137.382812 1772130051.9935
MEM 2137.382812 1772130052.0946
MEM 2137.382812 1772130052.1956
MEM 2137.382812 1772130052.2973
MEM 2137.382812 1772130052.3988
MEM 2141.367188 1772130052.4991
MEM 2137.390625 1772130052.5995
MEM 2137.390625 1772130052.6998
MEM 2137.390625 1772130052.8011
MEM 2137.390625 1772130052.9024
MEM 2137.390625 1772130053.0028
MEM 2139.320312 1772130053.1031
MEM 2137.390625 1772130053.2043
MEM 2137.390625 1772130053.3060
MEM 2137.390625 1772130053.4075
MEM 2137.390625 1772130053.5093
MEM 2137.390625 1772130053.6096
MEM 2137.390625 1772130053.7100
MEM 2143.332031 1772130053.8105
MEM 2138.167969 1772130053.9109
MEM 2138.167969 1772130054.0114
MEM 2138.167969 1772130054.1129
MEM 2138.167969 1772130054.2139
MEM 2138.167969 1772130054.3149
MEM 2138.167969 1772130054.4165
MEM 2138.195312 1772130054.5168
MEM 2138.195312 1772130054.6172
MEM 2138.195312 1772130054.7175
MEM 2138.195312 1772130054.8178
MEM 2138.195312 1772130054.9190
MEM 2138.195312 1772130055.0204
MEM 2140.125000 1772130055.1208
MEM 2138.195312 1772130055.2211
MEM 2138.195312 1772130055.3220
MEM 2138.195312 1772130055.4224
MEM 2138.195312 1772130055.5228
MEM 2138.195312 1772130055.6231
MEM 2138.195312 1772130055.7239
MEM 2144.136719 1772130055.8242
MEM 2138.195312 1772130055.9246
MEM 2138.195312 1772130056.0250
MEM 2138.195312 1772130056.1265
MEM 2138.195312 1772130056.2281
MEM 2138.195312 1772130056.3296
MEM 2138.195312 1772130056.4308
MEM 2138.195312 1772130056.5312
MEM 2138.195312 1772130056.6315
MEM 2138.195312 1772130056.7326
MEM 2138.195312 1772130056.8334
MEM 2138.195312 1772130056.9348
MEM 2138.195312 1772130057.0361
MEM 2144.136719 1772130057.1364
MEM 2138.195312 1772130057.2368
MEM 2138.195312 1772130057.3371
MEM 2138.195312 1772130057.4375
MEM 2138.195312 1772130057.5381
MEM 2138.195312 1772130057.6391
MEM 2138.195312 1772130057.7405
MEM 2140.125000 1772130057.8408
MEM 2138.972656 1772130057.9412
MEM 2138.972656 1772130058.0416
MEM 2138.972656 1772130058.1419
MEM 2138.972656 1772130058.2423
MEM 2138.972656 1772130058.3427
MEM 2138.972656 1772130058.4435
MEM 2144.914062 1772130058.5438
MEM 2138.972656 1772130058.6442
MEM 2138.972656 1772130058.7445
MEM 2138.972656 1772130058.8461
MEM 2138.972656 1772130058.9482
MEM 2138.972656 1772130059.0494
MEM 2138.972656 1772130059.1510
MEM 2138.972656 1772130059.2525
MEM 2138.972656 1772130059.3541
MEM 2138.972656 1772130059.4558
MEM 2138.972656 1772130059.5574
MEM 2138.972656 1772130059.6587
MEM 2138.972656 1772130059.7602
MEM 2145.136719 1772130059.8618
MEM 2139.964844 1772130059.9621
MEM 2139.964844 1772130060.0625
MEM 2139.964844 1772130060.1628
MEM 2139.964844 1772130060.2642
MEM 2139.964844 1772130060.3645
MEM 2139.964844 1772130060.4653
MEM 2145.906250 1772130060.5656
MEM 2139.964844 1772130060.6660
MEM 2139.964844 1772130060.7664
MEM 2139.964844 1772130060.8682
MEM 2139.964844 1772130060.9694
MEM 2139.964844 1772130061.0699
MEM 2139.964844 1772130061.1704
MEM 2139.964844 1772130061.2714
MEM 2139.964844 1772130061.3731
MEM 2139.964844 1772130061.4735
MEM 2139.964844 1772130061.5738
MEM 2139.964844 1772130061.6742
MEM 2139.964844 1772130061.7754
MEM 2145.906250 1772130061.8758
MEM 2139.964844 1772130061.9762
MEM 2139.964844 1772130062.0765
MEM 2139.964844 1772130062.1778
MEM 2139.964844 1772130062.2796
MEM 2139.964844 1772130062.3806
MEM 2139.964844 1772130062.4824
MEM 2143.941406 1772130062.5828
MEM 2139.964844 1772130062.6831
MEM 2139.964844 1772130062.7835
MEM 2139.964844 1772130062.8843
MEM 2139.964844 1772130062.9858
MEM 2139.964844 1772130063.0871
MEM 2139.964844 1772130063.1886
MEM 2145.910156 1772130063.2890
MEM 2139.968750 1772130063.3893
MEM 2139.968750 1772130063.4897
MEM 2139.968750 1772130063.5900
MEM 2139.968750 1772130063.6915
MEM 2139.968750 1772130063.7925
MEM 2139.968750 1772130063.8928
MEM 2139.968750 1772130063.9931
MEM 2139.968750 1772130064.0938
MEM 2139.968750 1772130064.1951
MEM 2139.968750 1772130064.2964
MEM 2139.968750 1772130064.3981
MEM 2139.968750 1772130064.4984
MEM 2145.910156 1772130064.5988
MEM 2139.968750 1772130064.6992
MEM 2139.968750 1772130064.8008
MEM 2139.968750 1772130064.9018
MEM 2139.968750 1772130065.0033
MEM 2139.968750 1772130065.1048
MEM 2139.968750 1772130065.2054
MEM 2143.945312 1772130065.3058
MEM 2139.968750 1772130065.4061
MEM 2139.968750 1772130065.5067
MEM 2139.968750 1772130065.6085
MEM 2139.968750 1772130065.7099
MEM 2139.968750 1772130065.8116
MEM 2141.898438 1772130065.9120
MEM 2139.968750 1772130066.0123
MEM 2139.968750 1772130066.1134
MEM 2139.968750 1772130066.2152
MEM 2139.968750 1772130066.3160
MEM 2139.968750 1772130066.4164
MEM 2139.968750 1772130066.5167
MEM 2145.910156 1772130066.6172
MEM 2139.968750 1772130066.7176
MEM 2139.968750 1772130066.8179
MEM 2139.968750 1772130066.9185
MEM 2139.968750 1772130067.0196
MEM 2139.968750 1772130067.1213
MEM 2139.968750 1772130067.2222
MEM 2139.968750 1772130067.3238
MEM 2139.968750 1772130067.4242
MEM 2139.968750 1772130067.5245
MEM 2139.968750 1772130067.6248
MEM 2139.968750 1772130067.7262
MEM 2139.968750 1772130067.8278
MEM 2145.910156 1772130067.9298
MEM 2139.968750 1772130068.0311
MEM 2139.968750 1772130068.1321
MEM 2139.968750 1772130068.2336
MEM 2139.968750 1772130068.3344
MEM 2139.968750 1772130068.4351
MEM 2139.968750 1772130068.5364
MEM 2143.945312 1772130068.6368
MEM 2139.968750 1772130068.7372
MEM 2139.968750 1772130068.8375
MEM 2139.968750 1772130068.9382
MEM 2139.968750 1772130069.0395
MEM 2139.968750 1772130069.1412
MEM 2139.968750 1772130069.2415
MEM 2139.968750 1772130069.3418
MEM 2139.968750 1772130069.4422
MEM 2139.968750 1772130069.5434
MEM 2139.968750 1772130069.6447
MEM 2139.968750 1772130069.7451
MEM 2139.968750 1772130069.8454
MEM 2145.910156 1772130069.9458
MEM 2139.968750 1772130070.0464
MEM 2139.968750 1772130070.1476
MEM 2139.968750 1772130070.2489
MEM 2139.968750 1772130070.3504
MEM 2139.968750 1772130070.4513
MEM 2139.968750 1772130070.5526
MEM 2143.957031 1772130070.6530
MEM 2139.980469 1772130070.7533
MEM 2139.980469 1772130070.8537
MEM 2139.980469 1772130070.9550
MEM 2139.980469 1772130071.0566
MEM 2139.980469 1772130071.1571
MEM 2141.910156 1772130071.2574
MEM 2139.980469 1772130071.3582
MEM 2139.980469 1772130071.4590
MEM 2139.980469 1772130071.5606
MEM 2139.980469 1772130071.6619
MEM 2139.980469 1772130071.7631
MEM 2139.980469 1772130071.8646
MEM 2145.921875 1772130071.9652
MEM 2139.980469 1772130072.0656
MEM 2139.980469 1772130072.1661
MEM 2139.980469 1772130072.2664
MEM 2139.980469 1772130072.3668
MEM 2139.980469 1772130072.4672
MEM 2139.980469 1772130072.5687
MEM 2143.957031 1772130072.6691
MEM 2139.980469 1772130072.7695
MEM 2020.601562 1772130072.8699
MEM 2020.601562 1772130072.9701
MEM 2020.601562 1772130073.0704
MEM 2020.601562 1772130073.1707
MEM 2020.601562 1772130073.2710
MEM 2020.601562 1772130073.3713
MEM 2020.601562 1772130073.4717
MEM 2020.601562 1772130073.5720
MEM 2020.601562 1772130073.6723
MEM 2020.601562 1772130073.7726
MEM 2020.601562 1772130073.8729
MEM 2020.601562 1772130073.9732
MEM 2020.601562 1772130074.0735
MEM 2020.601562 1772130074.1739
MEM 2020.601562 1772130074.2742
MEM 2020.601562 1772130074.3745
MEM 2020.601562 1772130074.4751
