CMDLINE /oscar/home/ndilullo/work/tensorflow.venv/bin/python memprof.py
MEM 4.500000 1772130614.1010
MEM 24.000000 1772130614.2013
MEM 35.000000 1772130614.3016
MEM 41.500000 1772130614.4019
MEM 121.500000 1772130614.5023
MEM 175.000000 1772130614.6027
MEM 271.000000 1772130614.7030
MEM 278.000000 1772130614.8033
MEM 283.500000 1772130614.9036
MEM 288.000000 1772130615.0039
MEM 292.500000 1772130615.1041
MEM 296.500000 1772130615.2044
MEM 301.500000 1772130615.3047
MEM 305.000000 1772130615.4050
MEM 309.500000 1772130615.5053
MEM 317.000000 1772130615.6056
MEM 322.000000 1772130615.7059
MEM 330.933594 1772130615.8062
MEM 333.433594 1772130615.9065
MEM 338.433594 1772130616.0068
MEM 341.933594 1772130616.1071
MEM 343.933594 1772130616.2075
MEM 348.933594 1772130616.3077
MEM 352.933594 1772130616.4080
MEM 363.433594 1772130616.5083
MEM 369.933594 1772130616.6086
MEM 374.933594 1772130616.7089
MEM 377.433594 1772130616.8091
MEM 379.933594 1772130616.9093
MEM 390.433594 1772130617.0097
MEM 391.433594 1772130617.1100
MEM 392.933594 1772130617.2104
MEM 394.433594 1772130617.3108
MEM 394.933594 1772130617.4110
MEM 396.933594 1772130617.5112
MEM 397.433594 1772130617.6114
MEM 398.933594 1772130617.7116
MEM 398.933594 1772130617.8118
MEM 403.933594 1772130617.9120
MEM 407.433594 1772130618.0123
MEM 409.433594 1772130618.1125
MEM 412.933594 1772130618.2127
MEM 416.433594 1772130618.3129
MEM 418.933594 1772130618.4132
MEM 427.433594 1772130618.5134
MEM 436.082031 1772130618.6138
MEM 441.582031 1772130618.7142
MEM 442.582031 1772130618.8145
MEM 448.582031 1772130618.9147
MEM 455.582031 1772130619.0150
MEM 456.082031 1772130619.1152
MEM 461.582031 1772130619.2155
MEM 469.582031 1772130619.3158
MEM 474.582031 1772130619.4160
MEM 478.582031 1772130619.5163
MEM 480.582031 1772130619.6167
MEM 480.582031 1772130619.7171
MEM 480.582031 1772130619.8175
MEM 506.839844 1772130619.9178
MEM 532.839844 1772130620.0182
MEM 558.839844 1772130620.1185
MEM 584.839844 1772130620.2188
MEM 610.839844 1772130620.3192
MEM 636.839844 1772130620.4195
MEM 662.839844 1772130620.5198
MEM 688.839844 1772130620.6202
MEM 714.839844 1772130620.7205
MEM 740.839844 1772130620.8208
MEM 766.839844 1772130620.9212
MEM 792.839844 1772130621.0215
MEM 818.839844 1772130621.1218
MEM 844.839844 1772130621.2222
MEM 870.839844 1772130621.3225
MEM 896.839844 1772130621.4228
MEM 905.839844 1772130621.5232
MEM 905.839844 1772130621.6237
MEM 905.839844 1772130621.7241
MEM 914.542969 1772130621.8244
MEM 940.546875 1772130621.9248
MEM 966.546875 1772130622.0252
MEM 992.546875 1772130622.1256
MEM 1018.546875 1772130622.2259
MEM 1044.546875 1772130622.3263
MEM 1070.546875 1772130622.4266
MEM 1096.546875 1772130622.5270
MEM 1122.546875 1772130622.6274
MEM 1148.546875 1772130622.7277
MEM 1174.546875 1772130622.8281
MEM 1200.546875 1772130622.9284
MEM 1226.546875 1772130623.0288
MEM 1252.546875 1772130623.1292
MEM 1276.546875 1772130623.2295
MEM 1302.546875 1772130623.3298
MEM 1315.546875 1772130623.4302
MEM 1315.546875 1772130623.5306
MEM 1315.546875 1772130623.6310
MEM 1329.140625 1772130623.7314
MEM 1353.140625 1772130623.8317
MEM 1379.140625 1772130623.9321
MEM 1405.140625 1772130624.0325
MEM 1431.140625 1772130624.1328
MEM 1457.140625 1772130624.2332
MEM 1483.140625 1772130624.3336
MEM 1509.140625 1772130624.4340
MEM 1535.140625 1772130624.5343
MEM 1561.140625 1772130624.6347
MEM 1587.140625 1772130624.7351
MEM 1613.140625 1772130624.8354
MEM 1639.140625 1772130624.9358
MEM 1663.140625 1772130625.0361
MEM 1689.140625 1772130625.1366
MEM 1715.140625 1772130625.2370
