CMDLINE /oscar/home/ndilullo/work/tensorflow.venv/bin/python memprof.py
MEM 5.000000 1772130244.2840
MEM 19.500000 1772130244.3843
MEM 30.500000 1772130244.4849
MEM 40.500000 1772130244.5852
MEM 118.000000 1772130244.6856
MEM 161.000000 1772130244.7860
MEM 271.000000 1772130244.8863
MEM 277.000000 1772130244.9866
MEM 283.000000 1772130245.0869
MEM 288.500000 1772130245.1872
MEM 292.500000 1772130245.2875
MEM 298.000000 1772130245.3877
MEM 301.500000 1772130245.4880
MEM 305.000000 1772130245.5883
MEM 309.500000 1772130245.6886
MEM 318.500000 1772130245.7889
MEM 329.929688 1772130245.8892
MEM 332.929688 1772130245.9895
MEM 338.929688 1772130246.0898
MEM 341.429688 1772130246.1901
MEM 345.929688 1772130246.2904
MEM 350.929688 1772130246.3907
MEM 361.929688 1772130246.4909
MEM 364.929688 1772130246.5912
MEM 373.929688 1772130246.6915
MEM 375.429688 1772130246.7917
MEM 377.929688 1772130246.8919
MEM 388.429688 1772130246.9923
MEM 391.429688 1772130247.0926
MEM 391.929688 1772130247.1929
MEM 393.429688 1772130247.2932
MEM 393.929688 1772130247.3934
MEM 395.429688 1772130247.4936
MEM 396.929688 1772130247.5938
MEM 397.429688 1772130247.6940
MEM 399.429688 1772130247.7942
MEM 403.929688 1772130247.8944
MEM 406.429688 1772130247.9947
MEM 410.429688 1772130248.0949
MEM 413.929688 1772130248.1952
MEM 415.929688 1772130248.2990
MEM 423.929688 1772130248.3993
MEM 431.609375 1772130248.4997
MEM 436.109375 1772130248.5999
MEM 439.609375 1772130248.7003
MEM 444.609375 1772130248.8006
MEM 452.109375 1772130248.9009
MEM 453.609375 1772130249.0011
MEM 454.609375 1772130249.1014
MEM 460.109375 1772130249.2018
MEM 466.609375 1772130249.3021
MEM 470.109375 1772130249.4025
MEM 474.109375 1772130249.5027
MEM 477.609375 1772130249.6030
MEM 481.109375 1772130249.7033
MEM 507.289062 1772130249.8037
MEM 533.289062 1772130249.9040
MEM 559.289062 1772130250.0044
MEM 585.289062 1772130250.1048
MEM 611.289062 1772130250.2052
MEM 637.289062 1772130250.3055
MEM 663.289062 1772130250.4058
MEM 689.289062 1772130250.5062
MEM 715.289062 1772130250.6066
MEM 741.289062 1772130250.7069
MEM 767.289062 1772130250.8073
MEM 793.289062 1772130250.9077
MEM 819.289062 1772130251.0081
MEM 845.289062 1772130251.1084
MEM 871.289062 1772130251.2088
MEM 897.289062 1772130251.3092
MEM 939.511719 1772130251.4096
MEM 694.632812 1772130251.5099
MEM 694.632812 1772130251.6102
MEM 694.632812 1772130251.7103
MEM 694.632812 1772130251.8105
MEM 694.632812 1772130251.9106
MEM 694.632812 1772130252.0108
MEM 694.632812 1772130252.1110
MEM 694.632812 1772130252.2112
MEM 694.632812 1772130252.3114
MEM 694.632812 1772130252.4116
MEM 694.632812 1772130252.5117
MEM 694.632812 1772130252.6119
MEM 694.632812 1772130252.7121
MEM 694.632812 1772130252.8123
MEM 694.632812 1772130252.9125
MEM 694.632812 1772130253.0126
MEM 694.632812 1772130253.1128
MEM 694.632812 1772130253.2130
MEM 694.632812 1772130253.3132
MEM 694.632812 1772130253.4134
MEM 694.632812 1772130253.5135
MEM 694.632812 1772130253.6136
MEM 694.632812 1772130253.7138
MEM 694.632812 1772130253.8140
MEM 694.632812 1772130253.9142
MEM 694.632812 1772130254.0144
MEM 694.632812 1772130254.1146
MEM 694.632812 1772130254.2146
MEM 694.632812 1772130254.3148
MEM 694.632812 1772130254.4150
MEM 694.632812 1772130254.5152
MEM 694.632812 1772130254.6154
MEM 694.632812 1772130254.7156
MEM 694.632812 1772130254.8158
MEM 694.632812 1772130254.9160
MEM 793.296875 1772130255.0164
MEM 483.496094 1772130255.1168
MEM 483.496094 1772130255.2172
MEM 483.496094 1772130255.3176
MEM 482.820312 1772130255.4180
MEM 0.000000 1772130255.5185
